"dg-description","dg-ndc","dg-strength","dg-search-code","dg-supplier-code","dg-description-generic","dg-dispensing-units","dg-dea-class","dg-pkg-size-units","dg-standard-qty","dg-lot-nbr","dg-price(1)","dg-price(2)","dg-price(3)","dg-price(4)","dg-price(5)","dg-price(6)","dg-price(7)","dg-price(8)","dg-price(9)","dg-acquis-percent-of-awp","dg-fee-schedule","dg-tax-schedule","dg-compound-code","dg-drug-type-override","dg-hot-list-code","dg-unit-dose-code","dg-exception-price-percent","dg-exception-drug-y-n","dg-exception-prorate-y-n","dg-special-price-y-n","dg-external-use-y-n","dg-generic-y-n","dg-jobber-y-n","dg-maintenance-y-n","dg-inactive-code","dg-pkg-insert-y-n","dg-price-poster-qty","dg-state-code","dg-state-generic-y-n","dg-alt-product-code","dg-alt-product-type","dg-generic-ind","dg-generic-price-ind","dg-3pty-conv-factor","dg-comments","dg-date-last-change","dg-orange-book-code-fdb","dg-days-till-expires","dg-nbr-disp-pkgs","dg-message-nbr","dg-pkg-size-dec-metric","dg-obsolete-date","dg-ndc-new","dg-ndc-prev","dg-drug-form-code","dg-location-id","dg-location-device-id","dg-monitor-refills-y-n","dg-insulin-syringe","dg-non-insulin-syringe","dg-injectable-non-insulin","dg-otc","dg-state-restricted","dg-fertility","dg-vitamin","dg-desi-drug","dg-cosmetic-indications","dg-aids-related-drug","dg-smoking-deterrent","dg-fluoride","dg-ostomy-supplies","dg-topical-contraceptive","dg-misc-diabetic-supplies","dg-needle","dg-laxative","dg-insulin","dg-hematinic","dg-antacid","dg-diagnostic","dg-antiobesity-drug","dg-oral-contraceptive","dg-anti-anexiety-agent","dg-orange-book-code","dg-generic-code-seq-nbr","dg-preferred-product-code","dg-fdb-hic3-code","dg-skip-generic-disp-y-n","dg-nbr-of-doses-in-container","dg-date-last-update","dg-new-drug-y-n","dg-date-record-added","dg-time-record-added","dg-date-last-dispensed","dg-price-date-last-update(1)","dg-price-date-last-update(2)","dg-price-date-last-update(3)","dg-price-date-last-update(4)","dg-price-date-last-update(5)","dg-price-date-last-update(6)","dg-price-date-last-update(7)","dg-price-date-last-update(8)","dg-price-date-last-update(9)","dg-maintain-inventory-y-n","dg-maintain-0-on-hand-qty","dg-qty-on-hand-desired","dg-qty-on-hand","dg-qty-on-order","dg-qty-reorder","dg-reorder-point","dg-reorder-method-code","dg-meth2-min-days-sup","dg-meth2-max-days-sup","dg-meth2-min-reorder-qty","dg-meth2-max-reorder-qty","dg-date-ordered","dg-purchase-order-nbr","dg-inv-adj-percent","dg-inv-buffer-qty","dg-adjust-reorder-point","dg-inv-months-back","dg-inv-months-forward","dg-monthly-qty(1)","dg-monthly-qty(2)","dg-monthly-qty(3)","dg-monthly-qty(4)","dg-monthly-qty(5)","dg-monthly-qty(6)","dg-monthly-qty(7)","dg-monthly-qty(8)","dg-monthly-qty(9)","dg-monthly-qty(10)","dg-monthly-qty(11)","dg-monthly-qty(12)","dg-monthly-qty(13)","dg-monthly-rxs(1)","dg-monthly-rxs(2)","dg-monthly-rxs(3)","dg-monthly-rxs(4)","dg-monthly-rxs(5)","dg-monthly-rxs(6)","dg-monthly-rxs(7)","dg-monthly-rxs(8)","dg-monthly-rxs(9)","dg-monthly-rxs(10)","dg-monthly-rxs(11)","dg-monthly-rxs(12)","dg-monthly-rxs(13)","dg-date-dg-usage-rolled","dg-lot-date-expires","dg-warehouse-drug-y-n","dg-manual-or-fdb-drug","dg-ndc-configuration-ind","dg-drug-of-choice-ndc","dg-dummy-warehouse-y-n","dg-supplier-of-drug","dg-generic-code-nbr","dg-sup1-pkg-size","dg-sup2-pkg-size","dg-supplier-code-2","dg-supplier-of-drug-2","dg-route-code","dg-fdb-dosage-form-desc","dg-ingredient-message","dg-automed-dispensed-y-n","dg-code1-product-y-n","dg-record-type"
"CARVEDILOL 3.125 MG TABLET TEV","00093005105","3.125",,,"CARVEDILOL","TA","06","00500",,,"00002.0835","00002.0835","00002.0835",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"028108","01","J7A",,,"05032017","N","10152016","00000427","10252016",,,,,,,,,,"Y",,"001000.000","0001000",,,"0000485","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,"000000105",,,,,,,,,,,,,"0000001","10252016",,,,"1",,,"01","0001553",,,,,,"TA",,,,"01"
"CARVEDILOL 6.25 MG TABLET GLN","68462016305","6.25",,,"CARVEDILOL","TA","06","00500",,,"00002.1010","00002.1010","00002.1010",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05062017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"028109","01","J7A",,,"05032017","N","10132016","00002051","05062017",,,,,,,,,,"Y",,"002000.000","0002028",,,"0000531","1",,,,,,"4500000",,,,,,"000000332","000000095",,"000000200",,,,,,"000000125","000000480","000000346","000000240","0000003","0000001",,"0000001",,,,,,"0000001","0000003","0000002","0000003","05062017",,,,"2",,,"01","0001554",,,,,,"TA",,,,"01"
"CARVEDILOL 6.25 MG TABLET TEV","00093013501","6.25",,"0","CARVEDILOL","TA","06","00100",,,"00002.1369","00002.1369","00002.1369",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"11032016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"028109",,"J7A",,,"05032017","N","10152016","00000427","10252016",,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,"000000055",,,,,,,,,,,,,"0000001","10252016",,,,"1",,,"00","0001554","00001.0000",,,,,"TA",,,,"01"
"CARVEDILOL 6.25 MG TABLET TEV","00093013505","6.25",,,"CARVEDILOL","TA","06","00500",,,"00002.0835","00002.0835","00002.0835",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05022017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"028109",,"J7A",,,"05032017","N","11062016","00001844","04112017",,,,,,,,,,"Y",,,"0000113",,,,"1",,,,,,"2000000",,,,,,,"000000555","000000180",,,,,,,,,,"000000150",,"0000004","0000001",,,,,,,,,,"0000002","04082017",,,,"1",,,"01","0001554",,,,,,"TA",,,,"01"
"CEFTRIAXONE 250 MG VIAL APO","60505075004","250",,,"CEFTRIAXONE SODIUM","EA","06","00001",,,"00014.8160","00014.8160","00014.8160",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"04052017","AP",,,,"00001.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009165",,"W1Y",,,"05032017","N","10152016","00000421","02042017",,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,"000000001",,,,,,,,,,,,"000000002","0000001",,,,,,,,,,,,"0000002","02042017",,,,"3",,,"01","0039960",,,,,,"HS",,,,"01"
"CEFTRIAXONE 250 MG VIAL HOS","00409733701","250",,,"CEFTRIAXONE SODIUM","EA","06","00001",,,"00000.9000","00000.9090","00000.9000",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AP",,,,"00001.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009165","01","W1Y",,,"05032017","N","04052017","00001127",,,,,,,,,,,"Y",,"000010.000","0000010",,,"0000004","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0039960",,,,,,"HS",,,,"01"
"CELEBREX 100 MG CAPSULE SEA","00025152034","100",,,"CELECOXIB","CA","06","00100",,,"00008.0597","00006.1371","00008.0597",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"1","9","0001",,"11032016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"041285","01","S2L",,,"05032017","N","10142016","00001510",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0042001",,,,,,"CA",,,,"01"
"CELEBREX 200 MG CAPSULE SEA","00025152531","200",,,"CELECOXIB","CA","06","00100",,,"00013.2199","00010.0663","00013.2199",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y",,,,,,,,"1","9","0001",,"05022017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"041286",,"S2L",,,"05032017","N","10142016","00001510","04252017",,,,,,,,,,"Y",,,"0001306",,,,"1",,,,,,"2000000",,,,,,"000000090","000000028",,,,,,,,,"000000158",,"000000030","0000001","0000001",,,,,,,,,"0000005",,"0000001","04252017",,,,"1",,,"01","0042002",,,,,,"CA",,,,"01"
"CELEBREX 400 MG CAPSULE SEA","00025153001","400",,,"CELECOXIB","CA","06","00100",,,"00019.8302","00015.0998","00019.8302",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"1","9","0001",,"11032016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"050832","01","S2L",,,"05032017","N","10142016","00001511",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0018127",,,,,,"CA",,,,"01"
"CELECOXIB 200 MG CAPSULE AV","42291019450","200",,,"CELECOXIB","CA","06","00500",,,"00001.6367","00001.6367","00001.6367",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,,,,"1","9","0001",,"11042016","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"041286","01","S2L",,,"05032017","N","10132016","00002058",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0042002",,,,,,"CA",,,,"01"
"CEPHALEXIN 250 MG CAPSULE ASC","67877022001","250",,,"CEPHALEXIN","CA","06","00100",,,"00000.8730","00000.8730","00000.8730",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009042","01","W1W",,,"05032017","N","10132016","00002152","02042017",,,,,,,,,,"Y",,"000100.000","0000100",,,"0000070","1",,,,,,"2000000",,,,,,"000000042",,,,,,,,,,,,"000000028","0000001",,,,,,,,,,,,"0000001","02042017",,,,"2",,,"01","0039801",,,,,,"CA",,,,"01"
"CIALIS 10 MG TABLET LIL","00002446330","10",,,"TADALAFIL","TA","06","00030",,,"00066.3720","00051.7400","00066.3720",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","ZC",,,,"00030.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"051656","01","F2A",,,"05032017","N","10142016","00001513",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0018995",,,,,,"TA",,,,"01"
"CIALIS 2.5 MG TABLET LIL","00002446534","2.5",,,"TADALAFIL","TA","06","00030",,,"00011.3280","00008.8360","00011.3280",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","ZC",,,,"00030.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"063691","01","F2A",,,"05032017","N","10142016","00001515",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0099409",,,,,,"TA",,,,"01"
"CIALIS 20 MG TABLET LIL","00002446430","20",,,"TADALAFIL","TA","06","00030",,,"00066.3720","00051.7400","00066.3720",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y","2",,,,,,,"2","9","0001",,"11032016","ZC",,,,"00030.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"051657","01","F2A",,,"05032017","N","10142016","00001514",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"00","0018996",,,,,,"TA",,,,"01"
"CIALIS 5 MG TABLET LIL","00002446230","5",,,"TADALAFIL","TA","06","00030",,,"00011.3280","00008.8360","00011.3280",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","N",,"Y",,,,,,,,"2","9","0001",,"05032017","ZC",,,,"00030.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"053296",,"F2A",,,"05032017","N","10142016","00001512","10292016",,,,,,,,,,"Y",,,"0000032",,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,"000000028",,,,,,,,,,,,,"0000001","10292016",,,,"1",,,"01","0020736",,,,,,"TA",,,,"01"
"CIPROFLOXACIN 0.3% EYE DROPAKO","17478071425","0.3",,,"CIPROFLOXACIN HCL","ML","06","00003",,,"00002.8667","00002.8667","00002.8667",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"11132016","AT",,,,"00002.5000",,,,"2",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"015861",,"Q6W",,,"05032017","N","10132016","00002204",,,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0033580",,,,,,"SO",,,,"01"
"CIPROFLOXACIN 0.3% EYE DROPFAL","61314065625","0.3",,,"CIPROFLOXACIN HCL","ML","06","00003",,,"00008.3433","00008.3433","00008.3433",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AT",,,,"00002.5000",,,,"2",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"015861","01","Q6W",,,"05032017","N","11132016","00001946","04082017",,,,,,,,,,"Y",,"000015.000","0000015",,,"0000015","1",,,,,,"4500000",,,,,,,,"000000006",,,,,,,,,,"000000012",,,"0000002",,,,,,,,,,"0000003","04042017",,,,"2",,,"01","0033580",,,,,,"SO",,,,"01"
"CIPROFLOXACIN HCL 250 MG TAWSW","00143992701","250",,,"CIPROFLOXACIN HCL","TA","06","00100",,,"00004.5940","00004.5940","00004.5940",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009509","01","W1Q",,,"05032017","N","10132016","00002200","05062017",,,,,,,,,,"Y",,"000050.000","0000380",,,"0000050","1",,,,,,"2000000",,,,,,"000000014",,,,,,,,,,,,"000000006","0000001",,,,,,,,,,,,"0000001","05062017",,,,"1",,,"01","0047050",,,,,,"TA",,,,"01"
"CIPROFLOXACIN HCL 500 MG TACAR","61442022301","500",,,"CIPROFLOXACIN HCL","TA","06","00100",,,"00004.9323","00004.9323","00004.9323",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009510","01","W1Q",,,"05032017","N","10132016","00002203",,,,,,,,,,,"Y",,"000050.000",,,,"0000050","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0047051",,,,,,"TA",,,,"01"
"CIPROFLOXACIN HCL 500 MG TANOR","16714065202","500",,,"CIPROFLOXACIN HCL","TA","06","00100",,,"00005.3920","00004.7748","00005.3920",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"10152016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009510",,"W1Q",,,"05032017","N","10152016","00000429","03072017",,,,,,,,,,"Y",,,"0000400",,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03072017",,,,"2",,,"01","0047051",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 10 MG TABLETAUR","65862000505","10",,,"CITALOPRAM HYDROBROMIDE","TA","06","00500",,,"00002.3829","00002.3829","00002.3829",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046206","01","H2S",,,"05032017","N","10132016","00002207",,,,,,,,,,,"Y",,"000360.000","0000500",,,"0000180","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0016345",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 10 MG TABLETTOR","13668000901","10",,,"CITALOPRAM HYDROBROMIDE","TA","06","00100",,,"00002.5804","00002.5804","00002.5804",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"10152016","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046206",,"H2S",,,"05032017","N","10152016","00000429","01102017",,,,,,,,,,"Y",,,"0000100",,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,"000000060","000000090",,"000000070",,,,,,,,,,"0000001","0000001",,"0000001","01102017",,,,"2",,,"01","0016345",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 20 MG TABLETTOR","13668001005","20",,,"CITALOPRAM HYDROBROMIDE","TA","06","00500",,,"00002.5627","00002.5627","00002.5627",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046203","01","H2S",,,"05032017","N","10132016","00002208","02112017",,,,,,,,,,"Y",,"000360.000","0000767",,,"0000180","1",,,,,,"2000000",,,,,,"000000104",,,,,,,,,,"000000225","000000060","000000030","0000002",,,,,,,,,,"0000003","0000001","0000001","02112017",,,,"2",,,"01","0016342",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 40 MG TABLETAUR","65862000701","40",,,"CITALOPRAM HYDROBROMIDE","TA","06","00100",,,"00002.6445","00002.6445","00002.6445",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046204","01","H2S",,,"05032017","N","05042017","00000017",,,,,,,,,,,"Y",,"000300.000",,,,"0000300","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0016343",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 40 MG TABLETCAM","31722020805","40",,,"CITALOPRAM HYDROBROMIDE","TA","06","00500",,,"00002.5916","00002.5916","00002.5916",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"11162016","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046204",,"H2S",,,"05032017","N","10152016","00000429","01242017",,,,,,,,,,"Y",,,"0001077",,,,"1",,,,,,"4500000",,,,,,,,,,,,,,,,"000000090",,"000000150",,,,,,,,,,,"0000001",,"0000002","01102017",,,,"2",,,"01","0016343",,,,,,"TA",,,,"01"
"CITALOPRAM HBR 40 MG TABLETTOR","13668001105","40",,,"CITALOPRAM HYDROBROMIDE","TA","06","00500",,,"00002.6473","00002.6473","00002.6473",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"10132016","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"046204",,"H2S",,,"05032017","N","10132016","00002209",,,,,,,,,,,"Y",,,,,"0000180","0000090","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"01","0016343",,,,,,"TA",,,,"01"
"CLARITHROMYCIN 500 MG TABLEAUR","65862022660","500",,,"CLARITHROMYCIN","TA","06","00060",,,"00006.0153","00006.0153","00006.0153",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00060.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"016368","01","W1D",,,"05032017","N","01152017","00001326","04292017",,,,,,,,,,"Y",,"000060.000","0000132",,,"0000060","1",,,,,,"2000000",,,,,,"000000028",,,,,,,,,,,,"000000020","0000001",,,,,,,,,,,,"0000001","04292017",,,,"2",,,"01","0048851",,,,,,"TA",,,,"01"
"CLEARLAX POWDER VAL","49348014392","17G/DOSE",,,"POLYETHYLENE GLYCOL 3350","GM","07","00510",,,"00000.0308","00000.0184","00000.0308",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,,,,"1","9","0001",,"12042016","ZA",,,,"00510.0000",,,,"3",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"041843",,"D6S",,,"05032017","N","10222016","00001217","12032016",,,,,,,,,,"Y",,,,,,,"1",,,,,,"2000000",,,,,,,,,,,,,,,,"000002041",,"000001530",,,,,,,,,,,"0000005",,"0000003","12032016",,,,"2",,,"01","0086212",,,,,,"PA",,,,"01"
"CLINDAMYCIN HCL 150 MG CAPSWAT","00591570801","150",,,"CLINDAMYCIN HCL","CA","06","00100",,,"00001.1912","00001.1912","00001.1912",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"009339","01","W1K",,,"05032017","N","10132016","00002210","05062017",,,,,,,,,,"Y",,"000100.000","0000200",,,"0000059","1",,,,,,"2000000",,,,,,,,,"000000042",,,,,,,,,"000000042",,,,"0000001",,,,,,,,,"0000001","05062017",,,,"1",,,"01","0040830",,,,,,"CA",,,,"01"
"CLINDAMYCIN PH 1% GEL FOU","00168020230","1",,,"CLINDAMYCIN PHOSPHATE","GM","06","00030",,,"00003.4550","00003.4550","00003.4550",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00030.0000",,,,"3",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"007726","01","Q5W",,,"05032017","N","10132016","00002212","03112017",,,,,,,,,,"Y",,"000046.000","0000060",,,"0000046","1",,,,,,"2000000",,,,,,,,,,,,,,,,"000000060",,"000000031",,,,,,,,,,,"0000002",,"0000002","03072017",,,,"1",,,"01","0045410",,,,,,"JG",,,,"01"
"CLOBETASOL 0.05% GEL PER","45802092514","0.05",,,"CLOBETASOL PROPIONATE","GM","06","00015",,,"00011.0893","00011.0893","00011.0893",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"N",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00015.0000",,,,"3",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"021904","01","Q5P",,,"05032017","N","10132016","00002217","05062017",,,,,,,,,,"Y",,"000087.000","0000060",,,"0000087","1",,,,,,"2000000",,,,,,,"000000030","000000015","000000030",,,,,,,"000000045","000000031","000000030",,"0000001","0000001","0000001",,,,,,,"0000002","0000002","0000001","05062017",,,,"2",,,"01","0015892",,,,,,"JG",,,,"01"
"CLONIDINE HCL 0.1 MG TABLETACT","00228212710","0.1",,,"CLONIDINE HCL","TA","06","00100",,,"00000.2590","00000.2590","00000.2590",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00100.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"000346","01","A4B",,,"05032017","N","05042017","00000310",,,,,,,,,,,"Y",,"000270.000","0000200",,,"0000270","1",,,,,,"2000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"01","0001390",,,,,,"TA",,,,"01"
"CLONIDINE HCL 0.1 MG TABLETACT","00228212750","0.1",,,"CLONIDINE HCL","TA","06","00500",,,"00000.2538","00000.2538","00000.2538",,,,,,,,"0000001",,"1",,"0","0",,,,,"N","Y",,"Y",,,,,"Y",,,"1","9","0001",,"11032016","AB",,,,"00500.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"000346",,"A4B",,,"05032017","N","10132016","00002219","03112017",,,,,,,,,,"Y",,,"0000160",,"0000090","0000090","1",,,,,,"4500000",,,,,,,,,,,,,,,,,"000000180","000000180",,,,,,,,,,,,"0000001","0000001","03112017",,,,"1",,,"01","0001390",,,,,,"TA",,,,"01"
"CLOPIDOGREL 75 MG TABLET APO","60505025302","75",,,"CLOPIDOGREL BISULFATE","TA","06","00090",,,"00006.9610","00006.9610","00006.9610",,,,,,,,"0000001",,"1",,"0","0",,,,,,"Y",,"Y",,,,,"Y",,,"1","9","0001",,"05042017","AB",,,,"00090.0000",,,,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"038164","01","M9P",,,"05032017","N","10132016","00002221","01072017",,,,,,,,,,"Y",,"000355.000",,,,"0000355","1",,,,,,"2000000",,,,,,,,,,,,,,,,"000000030",,"000000028",,,,,,,,,,,"0000001",,"0000001","01072017",,,,"3",,,"01","0096010",,,,,,"TA",,,,"01"
